bookId,book_title,book_genre
1,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),교육
2,흔한남매 12,어린이
3,트렌드 코리아 2023 ,기타
4,내가 틀릴 수도 있습니다 (리커버 에디션),교육
5,불편한 편의점 2,기타
6,불편한 편의점,기타
7,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",기타
8,아버지의 해방일지,기타
9,모든 것은 기본에서 시작한다,기타
10,스파이 패밀리 Spy Family 10 ,기타
11,명탐정 코난 102 ,기타
12,명탐정 코난 제로의 일상 6 ,기타
13,역행자,자기계발
14,설민석의 한국사 대모험 23 ,어린이
15,이은경쌤의 초등어휘일력 365 ,자기계발
16,하얼빈,기타
17,파친코 1,기타
18,설민석의 세계사 대모험 15,어린이
19,파친코 2,기타
20,안젤리크 ,기타
21,천 원을 경영하라,기타
22,흔한남매 과학 탐험대 6 물리 2,어린이
23,데일 카네기 인간관계론,자기계발
24,원씽 THE ONE THING,자기계발
25,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",자격증시험
26,세상의 마지막 기차역,기타
27,조국의 법고전 산책,교육
28,네모아저씨의 페이퍼 블레이드 5 마스터십,어린이
29,물고기는 존재하지 않는다,교육
30,키위엔 영어회화 하루 5분의 기적,자격증시험
31,마흔에 읽는 니체,교육
32,이상한 과자 가게 전천당 16,어린이
33,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,자격증시험
34,"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",자격증시험
35,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",기타
36,5년 후 나에게 Q&amp;A a day(2023 Sandglass Edition),자기계발
37,너의 하루가 따숩길 바라,기타
38,2023 에듀윌 공인중개사 오시훈 키워드 암기장 부동산공법,자격증시험
39,작별인사,기타
40,참을 수 없는 존재의 가벼움,기타
41,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,자격증시험
42,"다산, 어른의 하루",자기계발
43,돈의 속성 200쇄 리커버,기타
44,데일 카네기 자기관리론,자기계발
45,명탐정 코난 범인 한자와 씨 7 ,기타
46,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발
47,랑랑 형제 떡집,어린이
48,해커스 토익 기출  VOCA 보카,자격증시험
49,하루 한 장 고전 수업,자기계발
50,넌 대체 몇 년째 영어 공부를 하고 있는 거니?,자격증시험
51,불안,기타
52,엄마의 말 연습 ,자기계발
53,채사장의 지대넓얕 5 : 자본주의의 역습,어린이
54,2023 이유진 국어 백일기도 모의고사 1 기본유형,자격증시험
55,이어령의 마지막 수업,교육
56,부자 아빠 가난한 아빠 20주년 특별 기념판,기타
57,사피엔스,교육
58,에그박사 8,어린이
59,이 책은 돈 버는 법에 관한 이야기 ,기타
60,괴수 8호 8 트리플특장판,기타
61,긴긴밤,어린이
62,머니 트렌드 2023,기타
63,코스모스,교육
64,세상에서 가장 쉬운 본질육아 [러브드 에디션],자기계발
65,봇치·더·록! 3 ,
66,달러구트 꿈 백화점 (레인보우 에디션),기타
67,거인의 어깨 1,기타
68,크리스마스 타일,기타
69,레버리지,기타
70,흔한남매 이상한 나라의 고전 읽기 2,어린이
71,읽으면서 바로 써먹는 어린이 급수 한자 6·7·8급,어린이
72,마음의 법칙,교육
73,천문학자는 별을 보지 않는다,기타
74,지적 대화를 위한 넓고 얕은 지식 1,교육
75,"어서 오세요, 휴남동 서점입니다",기타
76,오십에 읽는 논어 (15만 부 기념 리커버 에디션),교육
77,흔한남매 11,어린이
78,"우리, 편하게 말해요",자기계발
79,아파트 투자는 사이클이다,기타
80,꽃을 보듯 너를 본다,기타
81,아주 작은 습관의 힘,자기계발
82,노마드 투자자 서한,기타
83,눈아이,어린이
84,작은 땅의 야수들,기타
85,달러구트 꿈 백화점 2 (레인보우 에디션),기타
86,웹 3.0 넥스트 이코노미,기타
87,클루지,교육
88,내 안의 어린아이에게 세트,기타
89,이토록 공부가 재미있어지는 순간,어린이
90,"다정한 말, 단단한 말",어린이
91,웰씽킹 WEALTHINKING,자기계발
92,하나님의 숨결,교육
93,Go Go 카카오프렌즈 26 폴란드,어린이
94,기분이 태도가 되지 말자,기타
95,거의 모든 일상 표현의 영어,자격증시험
96,"나태주, 시간의 쉼표",기타
97,잘될 수밖에 없는 너에게,기타
98,인생의 역사,기타
99,너의 안부,기타
100,좋은 운은 좋은 사람과 함께 온다,자기계발
101,염증 해방,자기계발
102,진짜 쓰는 실무 엑셀,기타
103,최재천의 공부,교육
104,이기적 유전자 The Selfish Gene,교육
105,원청,기타
106,거인의 어깨 2,기타
107,사카모토 데이즈 8 더블특전판,
